id,label,width,distance,position
1,Date,0.46245969167479095,0.11576656243226494,4
1,Incorrect,0.6457166043516923,0.13242940099954417,7
1,Incorrect,0.06655560674073044,0.6037124088058367,7
1,Incorrect,0.25499903581414785,0.70678981808111,7
1,Incorrect,0.06828444553956912,0.6078925064797652,7
1,Incorrect,0.016419281574408372,0.7873010859549955,7
1,Incorrect,0.0734709619360852,0.6106890997316111,7
1,Incorrect,0.10804773791285904,0.7636189290582431,7
1,Incorrect,0.08038631713143997,0.6219029030916957,7
1,Incorrect,0.2256087762338901,0.7370230517648021,7
1,Incorrect,0.08384399472911735,0.637403331969513,7
1,Incorrect,0.22215109863621268,0.7504666228622843,7
1,Incorrect,0.287846972992083,0.7368834955211313,7
1,Incorrect,0.38984846212356583,0.7155445280563548,7
1,Incorrect,0.3068641997793086,0.3260886485613575,7
1,Incorrect,0.7217855115005948,0.3708755068919113,7
1,Incorrect,0.5177825332376291,0.7498567033294457,7
1,Incorrect,0.4953076288527261,0.773357816475973,7
2,Incorrect,0.46245969167479095,0.1444043939856616,2
2,Credited account,0.6457166043516923,0.11792788264517154,4
2,Incorrect,0.06655560674073044,0.5966565976946128,7
2,Incorrect,0.25499903581414785,0.7009888907722541,7
2,Incorrect,0.06828444553956912,0.5980235354541714,7
2,Incorrect,0.016419281574408372,0.7800068355934557,7
2,Incorrect,0.0734709619360852,0.598219672599306,7
2,Incorrect,0.10804773791285904,0.75395711794825,7
2,Incorrect,0.08038631713143997,0.6042127611037422,7
2,Incorrect,0.2256087762338901,0.7226636010054935,7
2,Incorrect,0.08384399472911735,0.6144804604066071,7
2,Incorrect,0.22215109863621268,0.7315906316381274,7
2,Incorrect,0.287846972992083,0.7153299106785294,7
2,Incorrect,0.38984846212356583,0.6907110720722185,7
2,Incorrect,0.3068641997793086,0.2511829401235061,7
2,Incorrect,0.7217855115005948,0.28178769747645777,7
2,Incorrect,0.5177825332376291,0.7092125564932813,7
2,Incorrect,0.4953076288527261,0.7289922884950838,7
3,Incorrect,0.46245969167479095,0.21035334293533256,1
3,Incorrect,0.6457166043516923,0.18102088544395042,1
3,Cash collected,0.06655560674073044,0.1470085651645695,4
3,Cash collected,0.25499903581414785,0.2513505225980255,4
3,Incorrect,0.06828444553956912,0.14775133789746986,7
3,Incorrect,0.016419281574408372,0.32981366883032676,7
3,Incorrect,0.0734709619360852,0.1484843526830829,7
3,Incorrect,0.10804773791285904,0.3037422182149234,7
3,Incorrect,0.08038631713143997,0.15877017991491685,7
3,Incorrect,0.2256087762338901,0.27420298113757147,7
3,Incorrect,0.08384399472911735,0.17732963756249315,7
3,Incorrect,0.22215109863621268,0.2873357419544134,7
3,Incorrect,0.287846972992083,0.27479485694521133,7
3,Incorrect,0.38984846212356583,0.25619827514502486,7
3,Incorrect,0.3068641997793086,0.24699897553928984,6
3,Incorrect,0.7217855115005948,0.3747871893030435,6
3,Incorrect,0.5177825332376291,0.3199382127131981,7
3,Incorrect,0.4953076288527261,0.3531015231423287,7
4,Incorrect,0.46245969167479095,0.22047052729348635,1
4,Incorrect,0.6457166043516923,0.18515921649845538,1
4,Incorrect,0.06655560674073044,0.1480925794257577,2
4,Incorrect,0.25499903581414785,0.25195936337820163,2
4,Charges,0.06828444553956912,0.1470039966660001,4
4,Charges,0.016419281574408372,0.32921506461412064,4
4,Incorrect,0.0734709619360852,0.14604825682775308,7
4,Incorrect,0.10804773791285904,0.30216239473306233,7
4,Incorrect,0.08038631713143997,0.1530336421871444,7
4,Incorrect,0.2256087762338901,0.2704410534945816,7
4,Incorrect,0.08384399472911735,0.16865352284322027,7
4,Incorrect,0.22215109863621268,0.2814248042570393,7
4,Incorrect,0.287846972992083,0.26757256140400054,7
4,Incorrect,0.38984846212356583,0.24729856814256324,7
4,Incorrect,0.3068641997793086,0.23396761062031643,6
4,Incorrect,0.7217855115005948,0.36160870603581974,6
4,Incorrect,0.5177825332376291,0.3051822006461212,7
4,Incorrect,0.4953076288527261,0.33749224463518607,7
5,Incorrect,0.46245969167479095,0.2321790530839534,1
5,Incorrect,0.6457166043516923,0.19107279869538926,1
5,Incorrect,0.06655560674073044,0.15113692539857065,2
5,Incorrect,0.25499903581414785,0.25391169517968826,2
5,Incorrect,0.06828444553956912,0.14814648070708133,2
5,Incorrect,0.016419281574408372,0.3296498144256023,2
5,Stamps,0.0734709619360852,0.1454082764726663,4
5,Stamps,0.10804773791285904,0.3016358655100453,4
5,Incorrect,0.08038631713143997,0.148755479407058,7
5,Incorrect,0.2256087762338901,0.2676902931263331,7
5,Incorrect,0.08384399472911735,0.16099111601394644,7
5,Incorrect,0.22215109863621268,0.27631518202205996,7
5,Incorrect,0.287846972992083,0.26107605484529983,7
5,Incorrect,0.38984846212356583,0.2390191870704583,7
5,Incorrect,0.3068641997793086,0.22106948256946454,6
5,Incorrect,0.7217855115005948,0.3482945889674026,6
5,Incorrect,0.5177825332376291,0.29016658380348154,7
5,Incorrect,0.4953076288527261,0.32146440862435066,7
6,Incorrect,0.46245969167479095,0.25434964092747264,1
6,Incorrect,0.6457166043516923,0.20414115869906435,1
6,Incorrect,0.06655560674073044,0.16206488826712803,2
6,Incorrect,0.25499903581414785,0.2616318405946905,2
6,Incorrect,0.06828444553956912,0.15594481728048867,2
6,Incorrect,0.016419281574408372,0.33415353081269367,2
6,Incorrect,0.0734709619360852,0.1502049207322101,2
6,Incorrect,0.10804773791285904,0.30465106967232297,2
6,Net in C/V,0.08038631713143997,0.1470039966660001,4
6,Net in C/V,0.2256087762338901,0.26704103793512657,4
