id,label,distance,width,position
1,Date,696.5826964053141,557.2862453531599,4
1,Incorrect,756.8438330030059,764.5576208178439,7
1,Incorrect,2461.238291061018,109.50185873605949,7
1,Incorrect,2834.017623669512,322.63940520446096,7
1,Incorrect,2476.355609512086,111.45724907063197,7
1,Incorrect,3125.1865317407237,52.79553903345725,7
1,Incorrect,2486.4694858049647,117.32342007434944,7
1,Incorrect,3039.540038442422,156.43122676579927,7
1,Incorrect,2527.0241928156115,125.14498141263941,7
1,Incorrect,2943.356078666042,289.39776951672866,7
1,Incorrect,2583.0814761024576,129.0557620817844,7
1,Incorrect,2991.9747381456455,285.48698884758363,7
1,Incorrect,2942.8513736706145,359.7918215613383,7
1,Incorrect,2865.6790222698314,475.1598513011153,7
1,Incorrect,1457.2122800481109,381.3011152416357,7
1,Incorrect,1619.183901914436,850.5947955390335,7
1,Incorrect,2989.768964853563,619.8587360594796,7
1,Incorrect,3074.760713636492,594.4386617100372,7
2,Incorrect,800.1513814245503,557.2862453531599,2
2,Credited account,704.3991084803297,764.5576208178439,4
2,Incorrect,2435.720958256995,109.50185873605949,7
2,Incorrect,2813.038576699766,322.63940520446096,7
2,Incorrect,2440.664487099137,111.45724907063197,7
2,Incorrect,3098.8068836609737,52.79553903345725,7
2,Incorrect,2441.3738168599166,117.32342007434944,7
2,Incorrect,3004.598109627021,156.43122676579927,7
2,Incorrect,2463.0478145734323,125.14498141263941,7
2,Incorrect,2891.425141438231,289.39776951672866,7
2,Incorrect,2500.180937344542,129.0557620817844,7
2,Incorrect,2923.709737498671,285.48698884758363,7
2,Incorrect,2864.902858768687,359.7918215613383,7
2,Incorrect,2775.868857140376,475.1598513011153,7
2,Incorrect,1186.315871258304,381.3011152416357,7
2,Incorrect,1296.9979411792738,850.5947955390335,7
2,Incorrect,2842.7794543628142,619.8587360594796,7
2,Incorrect,2914.3128324972567,594.4386617100372,7
3,Incorrect,1038.6556797818762,557.2862453531599,1
3,Incorrect,932.5748808533424,764.5576208178439,1
3,Cash collected,809.5693635109941,109.50185873605949,4
3,Cash collected,1186.9219330855021,322.63940520446096,4
3,Incorrect,812.2556002489678,111.45724907063197,7
3,Incorrect,1470.68381158526,52.79553903345725,7
3,Incorrect,814.9065473817508,117.32342007434944,7
3,Incorrect,1376.3964402894744,156.43122676579927,7
3,Incorrect,852.1052297872187,125.14498141263941,7
3,Incorrect,1269.5678232250673,289.39776951672866,7
3,Incorrect,919.2254871169571,129.0557620817844,7
3,Incorrect,1317.0624376806488,285.48698884758363,7
3,Incorrect,1271.7083414056306,359.7918215613383,7
3,Incorrect,1204.453824620489,475.1598513011153,7
3,Incorrect,1171.1845681306083,381.3011152416357,6
3,Incorrect,1633.3304968749678,850.5947955390335,6
3,Incorrect,1434.9692358462014,619.8587360594796,7
3,Incorrect,1554.9043100373335,594.4386617100372,7
4,Incorrect,1075.2444654277954,557.2862453531599,1
4,Incorrect,947.5411503730928,764.5576208178439,1
4,Incorrect,813.4896998452598,109.50185873605949,2
4,Incorrect,1189.1238050698162,322.63940520446096,2
4,Charges,809.5528415411493,111.45724907063197,4
4,Charges,1468.5189601228217,52.79553903345725,4
4,Incorrect,806.0964095105614,117.32342007434944,7
4,Incorrect,1370.683010476404,156.43122676579927,7
4,Incorrect,831.3590476637276,125.14498141263941,7
4,Incorrect,1255.9628162120357,289.39776951672866,7
4,Incorrect,887.8483281698595,129.0557620817844,7
4,Incorrect,1295.6855382668016,285.48698884758363,7
4,Incorrect,1245.5889178512039,359.7918215613383,7
4,Incorrect,1172.2680444372784,475.1598513011153,7
4,Incorrect,1124.056651823558,381.3011152416357,6
4,Incorrect,1585.6705272299375,850.5947955390335,6
4,Incorrect,1381.604135102955,619.8587360594796,7
4,Incorrect,1498.4533721906782,594.4386617100372,7
5,Incorrect,1117.588335541406,557.2862453531599,1
5,Incorrect,968.9276136165699,764.5576208178439,1
5,Incorrect,824.4995735698103,109.50185873605949,2
5,Incorrect,1196.1844107942472,322.63940520446096,2
5,Incorrect,813.6846337674435,111.45724907063197,2
5,Incorrect,1470.0912323182063,52.79553903345725,2
5,Stamps,803.7819212892415,117.32342007434944,4
5,Stamps,1368.7788181442995,156.43122676579927,4
5,Incorrect,815.8870768685352,125.14498141263941,7
5,Incorrect,1246.014694490203,289.39776951672866,7
5,Incorrect,860.1372426461311,129.0557620817844,7
5,Incorrect,1277.206595305106,285.48698884758363,7
5,Incorrect,1222.0943093209128,359.7918215613383,7
5,Incorrect,1142.325672270858,475.1598513011153,7
5,Incorrect,1077.4105864974977,381.3011152416357,6
5,Incorrect,1537.5200380982083,850.5947955390335,6
5,Incorrect,1327.3001739861631,619.8587360594796,7
5,Incorrect,1440.4887216112143,594.4386617100372,7
6,Incorrect,1197.7682410896111,557.2862453531599,1
6,Incorrect,1016.1893226050803,764.5576208178439,1
6,Incorrect,864.0205387701691,109.50185873605949,2
6,Incorrect,1224.1043078471453,322.63940520446096,2
6,Incorrect,841.8873090551756,111.45724907063197,2
6,Incorrect,1486.3789174748472,52.79553903345725,2
6,Incorrect,821.1289797611702,117.32342007434944,2
6,Incorrect,1379.68330054442,156.43122676579927,2
6,Net in C/V,809.5528415411493,125.14498141263941,4
6,Net in C/V,1243.666663834677,289.39776951672866,4
6,Incorrect,830.0561318947528,129.0557620817844,7
6,Incorrect,1259.1232038203466,285.48698884758363,7
6,Incorrect,1195.2445881430822,359.7918215613383,7
6,Incorrect,1104.1314251275007,475.1598513011153,7
6,Incorrect,1000.4096472397583,381.3011152416357,6
